,C_GENDER,C_AGE,C_FIRST_WORK_DATE,CUST_CODE
372,2,24,19-MAY-15,43611009
373,2,50,01-SEP-89,76499889
374,1,28,13-JAN-14,32489999
375,2,35,01-JUL-04,90166968
376,1,29,04-JUL-11,76982444
377,2,38,01-JUN-00,85712580
378,1,34,01-MAR-04,15844936
379,1,33,01-OCT-09,35429381
380,1,33,18-JUL-12,46734768
381,2,32,27-FEB-15,61446696
382,2,37,01-JAN-03,11750069
383,2,41,01-JUL-04,99991266
384,2,47,01-JUN-88,80399016
385,1,30,01-FEB-11,12101026
386,2,42,02-SEP-94,46940096
387,2,39,01-APR-96,42975884
388,2,33,24-APR-09,19234234
389,2,49,01-AUG-88,27414815
390,1,28,16-JUL-13,29226430
391,2,26,26-MAY-15,21661686
392,1,49,11-JUL-88,35793352
393,1,36,05-JAN-01,30236074
394,2,27,26-SEP-14,82744615
395,1,52,01-JUL-86,92663816
396,1,30,14-APR-11,50811572
397,2,36,01-JUL-05,61384027
398,1,39,01-JAN-99,28057275
399,1,35,23-JAN-14,97028269
400,1,36,01-JUL-05,91722802
401,2,36,01-JUN-07,57063116
402,1,46,01-JAN-98,31324513
403,1,39,01-JUN-02,94578102
404,1,29,21-JUN-12,82380576
405,1,30,12-SEP-12,90122650
406,1,26,24-JUN-15,47007928
407,1,47,01-JUL-95,11081402
408,2,39,12-JUL-01,84918625
409,1,25,01-JUL-16,68584661
410,2,29,28-JUL-12,32182652
411,2,32,24-JUL-14,76173590
412,1,24,01-JUL-16,17658842
413,2,23,01-JUL-16,57439491
414,2,27,01-JUL-16,67879844
415,1,31,22-JUL-12,35008264
416,2,39,18-MAY-01,85319891
417,2,41,01-SEP-96,60409710
418,2,30,14-APR-11,25937466
419,1,26,09-JUL-15,93709723
420,2,24,24-MAR-16,43003976
421,2,25,30-JUN-15,65772628
422,1,33,01-JUL-08,13911041
423,2,27,01-JUL-16,70463294
424,1,38,01-SEP-98,32937872
425,2,35,29-DEC-05,15590767
426,1,40,01-JUL-97,72414387
427,2,49,01-MAY-85,79026607
428,2,36,01-JUN-10,32543580
429,2,27,01-MAR-16,47479051
430,1,30,01-NOV-07,11333430
431,2,27,26-JUL-12,14066762
432,2,49,01-JUL-89,14427650
433,1,28,03-SEP-12,38020770
434,2,32,01-APR-09,88438540
435,1,40,01-NOV-94,29904738
436,2,42,01-JUL-98,41749343
437,1,32,01-APR-11,17222874
438,2,32,01-SEP-07,54151751
439,2,41,12-SEP-94,74981007
440,2,37,01-JUL-02,90045258
441,1,44,01-JUL-92,57848241
